np_id,np_smi,chem_id,chem_smi,standard,pvalue,Assay_ChEMBL_ID,Confidence_Score,Assay_Type,target_id,target_name,target_organism
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4545007,O=c1cc(-c2cc(Cl)cc(Cl)c2)oc2c1ccc1ccccc12,IC50,6.8,CHEMBL4380059,9,A,CHEMBL3356,Cytochrome P450 1A2,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4545007,O=c1cc(-c2cc(Cl)cc(Cl)c2)oc2c1ccc1ccccc12,IC50,8.38,CHEMBL4380057,9,B,CHEMBL4878,Cytochrome P450 1B1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4545007,O=c1cc(-c2cc(Cl)cc(Cl)c2)oc2c1ccc1ccccc12,IC50,7.59,CHEMBL4380058,9,A,CHEMBL2231,Cytochrome P450 1A1,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442276,CN1C(=N)N/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,Ki,5.9,CHEMBL2445945,9,B,CHEMBL225,Serotonin 2c (5-HT2c) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442276,CN1C(=N)N/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,Ki,6.55,CHEMBL2445947,9,B,CHEMBL322,Serotonin 2a (5-HT2a) receptor,Rattus norvegicus
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442276,CN1C(=N)N/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,Ki,7.03,CHEMBL2445946,9,B,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442276,CN1C(=N)N/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,Ki,5.63,CHEMBL2445942,9,B,CHEMBL3426,Serotonin 5a (5-HT5a) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442276,CN1C(=N)N/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,Ki,5.91,CHEMBL2445940,9,B,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442276,CN1C(=N)N/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,Ki,5.13,CHEMBL2445951,9,B,CHEMBL214,Serotonin 1a (5-HT1a) receptor,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,5.55,CHEMBL988255,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,4.03,CHEMBL988257,9,B,CHEMBL4681,Aldo-keto-reductase family 1 member C3,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,8.23,CHEMBL1285646,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,7.16,CHEMBL1285651,9,B,CHEMBL5847,Aldo-keto reductase family 1 member C2,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,4.62,CHEMBL988258,9,B,CHEMBL4999,Aldo-keto reductase family 1 member C4,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,7.07,CHEMBL988252,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,4.95,CHEMBL1023735,9,B,CHEMBL4049,Aldehyde reductase,Sus scrofa
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,8.18,CHEMBL1764483,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,5.55,CHEMBL1285648,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,7.24,CHEMBL988253,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,7.11,CHEMBL1285647,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,8.15,CHEMBL1764482,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,Ki,6.57,CHEMBL988254,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
